#ZVView-data-copy:  31-Mar-2018 16:38:45
#=======================================
#
#name:   IRDFF-1.05: AU-197(N,G)AU-198
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  40692
#data...
#            X            Y
#          MeV        barns
    4.59303e-5     0.838918
    4.59497e-5     0.880086
    4.59674e-5     0.923546
    4.59852e-5     0.973728
    4.59985e-5      1.01669
    4.60118e-5      1.06508
    4.60251e-5      1.11987
    4.60373e-5      1.17667
    4.60506e-5      1.24707
    4.60606e-5      1.30654
    4.60706e-5      1.37257
     4.6081e-5       1.4493
    4.60916e-5      1.53655
    4.61022e-5      1.63441
    4.61127e-5      1.74425
    4.61233e-5       1.8675
    4.61339e-5      2.00572
    4.61418e-5      2.12019
    4.61497e-5      2.24471
    4.61577e-5      2.37999
    4.61678e-5      2.56885
    4.61774e-5      2.76733
     4.6187e-5      2.98516
    4.61966e-5       3.2234
    4.62046e-5      3.43821
    4.62142e-5      3.71611
    4.62238e-5      4.01647
    4.62334e-5      4.33947
     4.6243e-5      4.68497
    4.62559e-5      5.17959
    4.62671e-5      5.64231
    4.62815e-5      6.27361
    4.62975e-5      7.01348
    4.63424e-5       9.1571
    4.63584e-5      9.88122
    4.63728e-5      10.4805
    4.63872e-5      11.0107
    4.63984e-5       11.364
    4.64087e-5      11.6349
    4.64188e-5      11.8479
    4.64292e-5       12.008
    4.64416e-5      12.1154
    4.64494e-5      12.1355
     4.6459e-5      12.1092
    4.64686e-5      12.0271
    4.64788e-5      11.8795
    4.64891e-5      11.6727
    4.65019e-5      11.3368
    4.65131e-5      10.9794
    4.65275e-5      10.4452
     4.6542e-5      9.84357
    4.65596e-5       9.0439
    4.66044e-5      6.90697
    4.66204e-5      6.17536
    4.66349e-5      5.55312
    4.66461e-5      5.09815
    4.66557e-5      4.73054
    4.66653e-5       4.3847
    4.66749e-5       4.0612
    4.66845e-5      3.76025
     4.6694e-5      3.48389
    4.67034e-5      3.23316
    4.67128e-5      3.00258
    4.67221e-5       2.7913
    4.67307e-5      2.61492
     4.6739e-5      2.45729
    4.67473e-5      2.31244
    4.67556e-5      2.17956
    4.67638e-5      2.05785
    4.67721e-5      1.94649
    4.67804e-5      1.84471
    4.67892e-5      1.74659
    4.67982e-5      1.65515
    4.68072e-5      1.57231
    4.68162e-5      1.49726
    4.68282e-5      1.40798
    4.68372e-5      1.34821
    4.68493e-5      1.27691
    4.68613e-5        1.214
    4.68733e-5      1.15833
    4.68853e-5       1.1089
    4.68973e-5      1.06486
    4.69093e-5      1.02547
    4.69238e-5     0.983451
    4.69424e-5     0.936323
     4.6961e-5     0.895838
    4.69797e-5     0.860777
    4.69983e-5     0.830187
    4.70232e-5     0.795085
    4.70511e-5     0.761843
    4.70791e-5     0.733853
     4.7107e-5     0.710066
    4.71351e-5      0.68962
    4.71725e-5     0.666661
      4.721e-5     0.647653
    4.72599e-5     0.627097
    4.73098e-5     0.610776
    4.73662e-5     0.596215
    4.74226e-5     0.584812
    4.74978e-5     0.573316
    4.75732e-5     0.564995
    4.76613e-5     0.558314
    4.77748e-5     0.553247
    4.78886e-5     0.551072
    4.79491e-5      0.55082
    4.81014e-5     0.552312
    4.83052e-5      0.55788
    4.85356e-5     0.567695
    4.87929e-5     0.581884
    4.91034e-5     0.602613
    4.94159e-5     0.626977
    4.97304e-5     0.654881
    5.00468e-5     0.686463
    5.03653e-5      0.72203
    5.06858e-5     0.762058
    5.10084e-5     0.807277
    5.13058e-5     0.853648
    5.16324e-5     0.910656
    5.18786e-5     0.958454
     5.2126e-5      1.01123
    5.23745e-5      1.06945
    5.26243e-5      1.13455
    5.28753e-5      1.20725
    5.31275e-5      1.28865
    5.33809e-5      1.38036
    5.36071e-5      1.47194
    5.38343e-5      1.57424
    5.40053e-5      1.65972
    5.41768e-5      1.75369
     5.4349e-5      1.85736
    5.45217e-5      1.97193
    5.46948e-5      2.09929
     5.4854e-5      2.22904
    5.50284e-5      2.38712
    5.51594e-5      2.51871
    5.52908e-5      2.66328
    5.54225e-5      2.82286
    5.55544e-5      2.99957
    5.56868e-5      3.19675
    5.58193e-5      3.41745
    5.59376e-5      3.63745
    5.60559e-5      3.88327
     5.6145e-5      4.08851
     5.6234e-5      4.31434
    5.63233e-5      4.56475
    5.64127e-5      4.84416
    5.64872e-5      5.10274
    5.65545e-5       5.3597
    5.66219e-5      5.64364
    5.66892e-5      5.95898
    5.67566e-5      6.31194
    5.68167e-5      6.66534
    5.68769e-5      7.06271
     5.6922e-5      7.39554
     5.6967e-5      7.76423
    5.70122e-5      8.17649
    5.70537e-5      8.60132
     5.7099e-5      9.12611
     5.7133e-5      9.57091
     5.7167e-5      10.0693
    5.72009e-5      10.6326
    5.72273e-5      11.1252
    5.72522e-5      11.6416
     5.7276e-5      12.1906
    5.73031e-5      12.8999
    5.73234e-5      13.5014
    5.73438e-5      14.1755
    5.73641e-5      14.9372
    5.73844e-5      15.8064
    5.73997e-5       16.544
    5.74149e-5        17.37
    5.74302e-5      18.3012
    5.74454e-5      19.3581
    5.74574e-5       20.293
    5.74683e-5      21.2366
    5.74793e-5      22.2817
    5.74901e-5      23.4425
    5.75011e-5      24.7352
     5.7512e-5      26.1781
    5.75229e-5      27.7916
    5.75329e-5      29.4398
    5.75438e-5      31.4456
     5.7552e-5      33.1078
    5.75601e-5       34.919
    5.75683e-5      36.8917
    5.75787e-5      39.6437
    5.75868e-5      41.9999
    5.75948e-5      44.5574
    5.76029e-5      47.3299
     5.7611e-5      50.3312
    5.76191e-5       53.575
    5.76271e-5      57.0742
    5.76352e-5      60.8416
    5.76433e-5      64.8885
     5.7654e-5      70.7365
    5.76635e-5      76.3361
    5.76733e-5      82.5762
    5.76831e-5      89.2766
     5.7693e-5      96.4362
    5.77046e-5      105.505
    5.77177e-5      116.428
    5.77308e-5      128.051
    5.77453e-5      141.668
    5.77628e-5       158.74
    5.78035e-5      199.392
    5.78209e-5      215.913
    5.78355e-5      228.651
    5.78486e-5      239.014
    5.78617e-5       248.09
    5.78747e-5      255.663
    5.78878e-5       261.55
    5.79009e-5      265.606
     5.7914e-5      267.729
    5.79216e-5      268.053
    5.79338e-5      267.174
    5.79454e-5      264.745
    5.79585e-5      260.224
    5.79716e-5      253.926
    5.79847e-5      246.014
    5.79978e-5      236.683
    5.80109e-5      226.157
    5.80269e-5      212.024
    5.80472e-5      192.697
     5.8088e-5      152.928
    5.81054e-5      136.639
    5.81185e-5      125.053
    5.81316e-5      114.132
    5.81447e-5      103.952
    5.81556e-5      96.0706
    5.81654e-5      89.4592
    5.81752e-5      83.3076
    5.81853e-5      77.4706
     5.8196e-5      71.7527
    5.82068e-5      66.5538
    5.82149e-5      62.9812
    5.82257e-5      58.6314
    5.82364e-5      54.7272
    5.82472e-5      51.2373
    5.82579e-5      48.1294
    5.82687e-5      45.3712
     5.8279e-5      43.0396
    5.82904e-5       40.744
    5.83018e-5      38.7405
    5.83133e-5      36.9967
    5.83248e-5      35.4826
    5.83362e-5      34.1709
    5.83477e-5      33.0371
    5.83629e-5      31.7647
    5.83769e-5       30.804
    5.83922e-5      29.9448
    5.84075e-5      29.2521
    5.84278e-5      28.5427
    5.84504e-5      27.9899
    5.84678e-5      27.6987
    5.84904e-5      27.4684
    5.85195e-5      27.3719
    5.85486e-5      27.4623
    5.85813e-5      27.7511
     5.8614e-5      28.2118
    5.86467e-5      28.8272
    5.86794e-5      29.5869
    5.87122e-5      30.4859
    5.87459e-5       31.559
    5.87797e-5      32.7817
    5.88135e-5        34.16
    5.88473e-5      35.7024
    5.88811e-5      37.4211
    5.89149e-5      39.3312
    5.89487e-5      41.4516
      5.898e-5      43.6246
     5.9013e-5      46.1612
    5.90461e-5      48.9759
    5.90792e-5      52.1053
    5.91095e-5      55.2874
    5.91426e-5      59.1493
    5.91674e-5      62.3492
    5.91922e-5      65.8435
     5.9217e-5      69.6685
    5.92418e-5      73.8665
    5.92666e-5      78.4871
    5.92914e-5      83.5893
    5.93151e-5      88.9786
    5.93374e-5      94.5799
    5.93598e-5      100.764
    5.93821e-5      107.618
    5.94044e-5      115.245
    5.94218e-5       121.79
    5.94416e-5      130.027
    5.94615e-5       139.19
    5.94794e-5      148.385
    5.94968e-5      158.262
    5.95141e-5      169.238
    5.95315e-5      181.489
    5.95469e-5      193.622
    5.95624e-5      207.108
    5.95739e-5      218.237
