#ZVView-data-copy: 18-Nov-2018 22:54:07																																																							
																																																																																																														
#																																																							
#MT107:LB5:Symmetric Matrix																																																							
Z(54x54): Zi,j = Cor(σXi,σYj)*100																																																							
	X (MeV)																																																						
Y(MeV)	3.24926	6	6.5	6.75	7	7.25	7.5	7.75	8	8.25	8.5	8.75	9	9.25	9.5	9.75	10	10.25	10.5	10.75	11	11.25	11.5	11.75	12	12.5	13	13.5	13.75	14	14.2	14.4	14.6	14.8	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	22.5	25	30	34	35	40	42	50	60	j
15.5	-14.96	5.211	0.003801	4.934	6.905	3.305	1.325	3.486	7.221	9.717	9.813	8.019	5.31	2.593	0.6615	0.04661	0.8947	3.047	6.186	9.893	13.62	16.67	18.19	17.43	11.08	-0.3052	7.308	36.24	30.19	13.16	8.175	22.1	48.7	71.76	92.39	100	94.27	80.22	61.05	41.64	25.18	12.65	3.892	-1.675	-5.124	0.3916	3.805	-0.1396	-0.1372	0.2332	0	0	0	0	36
16	-11.78	5.564	0.1919	4.437	7.468	4.44	1.656	2.873	6.464	9.708	11	10.32	8.298	5.653	3.131	1.396	0.8476	1.588	3.528	6.453	10.02	13.7	16.77	18.37	16.26	7.261	8.756	32.41	32.57	19.87	12.53	18.25	36.07	55.09	78.04	94.27	100	94.33	80.88	63.61	46.46	31.4	19.06	9.49	-3.985	-6.089	0.9659	0.8244	0.8101	-0.8296	0	0	0	0	37
16.5	-3.138	4.526	1.473	3.375	6.116	5.156	3.044	2.997	5.027	7.651	9.553	10.3	9.95	8.711	6.935	5.109	3.698	3.016	3.229	4.397	6.484	9.315	12.52	15.52	17.88	15.1	14.36	28.22	30.77	24.31	18.8	19.55	28.25	40.14	59.65	80.22	94.33	100	94.75	83.32	68.93	54.14	40.24	27.91	4.55	-8.907	-2.356	1.574	1.547	-1.297	0	0	0	0	38
17	6.923	2.662	3.14	2.196	3.611	5.178	4.721	3.622	3.494	4.585	6.385	8.27	9.754	10.47	10.24	9.174	7.636	6.034	4.722	3.995	4.103	5.239	7.473	10.65	16.15	20.18	20.29	23.99	25.82	25.09	23.34	22.01	23.26	27.62	40.56	61.05	80.88	94.75	100	95.59	86.45	74.54	61.53	48.53	18.63	-6.212	-4.492	1.897	1.864	-0.8488	0	0	0	0	39
17.5	14.96	0.7339	4.568	1.291	0.9828	4.635	6.074	4.417	2.348	1.684	2.861	5.306	8.174	10.65	12.07	12.17	11.09	9.212	6.987	4.838	3.205	2.552	3.316	5.768	12.54	21.74	24.31	20.28	19.74	22.96	25.05	23.72	20.2	18.44	24.27	41.64	63.61	83.32	95.59	100	96.36	88.94	78.74	67.08	35.21	1.663	-4.387	1.86	1.828	0.4739	0	0	0	0	40
18	19.45	-0.7518	5.444	0.8135	-1.074	3.801	6.828	5.118	1.761	-0.3732	-0.03889	2.404	5.977	9.617	12.36	13.59	13.26	11.63	9.151	6.266	3.494	1.437	0.7612	2.06	8.53	20.52	25.85	17.37	14.11	19.3	24.35	24.16	18.37	12.6	12.34	25.18	46.46	68.93	86.45	96.36	100	96.87	90.55	81.59	51.75	13.16	-1.815	1.681	1.652	2.422	0	0	0	0	41
18.5	20.35	-1.615	5.709	0.7311	-2.306	2.894	6.952	5.571	1.67	-1.424	-1.921	0.1067	3.739	7.87	11.4	13.53	13.99	12.94	10.71	7.723	4.466	1.56	-0.2402	-0.1555	5.004	17.58	25.19	15.17	9.577	15.16	22.03	23.35	17.19	9.38	4.63	12.65	31.4	54.14	74.54	88.94	96.87	100	97.18	91.67	66.76	26.64	2.975	1.575	1.548	4.726	0	0	0	0	42
19	18.27	-1.873	5.428	0.9373	-2.727	2.045	6.524	5.708	1.923	-1.581	-2.762	-1.398	1.791	5.812	9.594	12.27	13.43	13.09	11.46	8.851	5.67	2.463	-0.04518	-1.018	2.315	13.78	22.86	13.48	6.268	11.15	18.75	21.55	16.25	7.946	0.3381	3.892	19.06	40.24	61.53	78.74	90.55	97.18	100	97.41	79.26	40.67	9.535	1.698	1.669	7.15	0	0	0	0	43
19.5	14.09	-1.636	4.726	1.311	-2.479	1.324	5.678	5.527	2.358	-1.065	-2.72	-2.122	0.2868	3.74	7.32	10.19	11.88	12.24	11.38	9.47	6.781	3.728	0.9251	-0.8401	0.5301	9.759	19.44	12.1	4.056	7.594	15.04	19.04	15.3	7.601	-1.437	-1.675	9.49	27.91	48.53	67.08	81.59	91.67	97.41	100	88.72	54.06	17.31	2.139	2.101	9.498	0	0	0	0	44
20	-1.794	0.4974	1.706	2.447	0.2881	0.2446	2.303	3.748	3.558	2.071	0.2887	-0.9439	-1.244	-0.5455	0.9738	2.943	4.947	6.658	7.847	8.348	8.031	6.851	4.909	2.538	-0.3235	0.7556	8.262	9.046	2.215	1.279	5.543	10.73	11.95	8.759	1.067	-5.124	-3.985	4.55	18.63	35.21	51.75	66.76	79.26	88.72	100	83.36	43.06	5.771	5.671	14.95	0	0	0	0	45
