#ZVView-data-copy: 18-Nov-2018 22:48:53																																																						
																																																																																																				
#																																																						
#MT102:LB5:Symmetric Matrix																																																						
Z(53x53): Zi,j = Cor(σXi,σYj)*100																																																						
	X (MeV)																																																					
Y(MeV)	2.00E-08	1.00E-07	5.50E-07	4.39E-06	1.39E-05	4.39E-05	7.81E-05	0.0001389	0.000247	0.0004393	0.0007812	0.001234	0.001811	0.002658	0.003902	0.0045	0.00572726	0.00840646	0.012339	0.0181112	0.0265836	0.0390194	0.0572726	0.0840646	0.125	0.14219	0.17901	0.22536	0.28371	0.35717	0.44965	0.56607	0.71264	0.89716	1.1295	1.4219	1.7901	2.2536	2.8371	3.5717	4.4965	5.6607	7.1264	8.9716	11.295	14.219	17.901	22.536	28.371	35.717	44.965	56.607	60	j
2.2536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.1	94.17	94.55	94.94	95.27	95.59	95.92	96.26	96.6	96.85	97.84	98.71	99.17	100	99.43	97.99	91.28	72.96	63.68	60.57	60.29	60.68	61.88	60.4	48.91	47.74	43.91	41.38	41.38	38
2.8371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.65	92.88	93.29	93.75	94.14	94.51	94.88	95.26	95.63	95.86	97.02	98.09	98.75	99.43	100	98.26	90.98	72.17	62.76	59.57	59.24	59.61	60.64	59.09	48.18	47.09	43.41	41.09	41.09	39
3.5717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.94	90.27	90.74	91.23	91.64	92.06	92.51	92.99	93.49	93.74	95.21	96.48	97.28	97.99	98.26	100	92.51	72.44	62.9	59.67	59.37	59.93	60.86	60.06	51.11	49.99	46.27	43.49	43.49	40
4.4965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.25	83.48	83.96	84.44	84.83	85.24	85.7	86.22	86.77	87.14	88.7	89.97	90.74	91.28	90.98	92.51	100	91.75	85.71	83.59	83.27	83.34	83.23	80.42	71.26	68.92	62.3	57.04	57.04	41
5.6607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.46	66.42	66.82	67.22	67.53	67.85	68.24	68.67	69.13	69.58	70.94	72	72.61	72.96	72.17	72.44	91.75	100	99.06	98.37	97.97	97.27	95.94	90.78	81.63	78.38	69.82	63.12	63.12	42
7.1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.87	57.7	58.07	58.44	58.71	58.99	59.35	59.74	60.16	60.62	61.88	62.83	63.39	63.68	62.76	62.9	85.71	99.06	100	99.85	99.52	98.72	97.11	91.67	83.32	79.93	71.03	63.92	63.92	43
8.9716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.47	55.21	55.55	55.88	56.13	56.39	56.71	57.07	57.45	57.91	59.05	59.89	60.37	60.57	59.57	59.67	83.59	98.37	99.85	100	99.8	99.11	97.61	92.35	84.25	80.81	71.76	64.27	64.27	44
11.295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.66	55.35	55.67	55.99	56.23	56.46	56.77	57.12	57.47	57.94	59	59.76	60.17	60.29	59.24	59.37	83.27	97.97	99.52	99.8	100	99.67	98.54	93.85	86.11	82.72	73.49	65.51	65.51	45
14.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.4	56.04	56.34	56.65	56.87	57.09	57.4	57.73	58.05	58.56	59.54	60.23	60.6	60.68	59.61	59.93	83.34	97.27	98.72	99.11	99.67	100	99.4	95.78	88.86	85.75	76.74	68.52	68.52	46
17.901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.34	58.8	59.04	59.28	59.43	59.59	59.82	60.07	60.29	60.81	61.46	61.87	62.02	61.88	60.64	60.86	83.23	95.94	97.11	97.61	98.54	99.4	100	97.75	90.93	88.24	79.51	71.07	71.07	47
22.536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.63	58.88	59.06	59.2	59.28	59.37	59.5	59.67	59.76	60.34	60.63	60.76	60.72	60.4	59.09	60.06	80.42	90.78	91.67	92.35	93.85	95.78	97.75	100	96.04	94.24	87.25	78.31	78.31	48
28.371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.98	44.49	44.75	45	45.17	45.37	45.62	45.94	46.21	46.84	47.67	48.29	48.71	48.91	48.18	51.11	71.26	81.63	83.32	84.25	86.11	88.86	90.93	96.04	100	99.29	94.8	86.06	86.06	49
35.717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.92	43.4	43.65	43.87	44.04	44.23	44.47	44.79	45.04	45.72	46.49	47.09	47.51	47.74	47.09	49.99	68.92	78.38	79.93	80.81	82.72	85.75	88.24	94.24	99.29	100	97.19	90.1	90.1	50
44.965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.5	39.88	40.08	40.25	40.39	40.57	40.78	41.06	41.3	42.06	42.7	43.25	43.65	43.91	43.41	46.27	62.3	69.82	71.03	71.76	73.49	76.74	79.51	87.25	94.8	97.19	100	96.6	96.6	51
56.607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.48	36.88	37.06	37.25	37.39	37.59	37.81	38.11	38.37	39.24	39.89	40.53	41	41.38	41.09	43.49	57.04	63.12	63.92	64.27	65.51	68.52	71.07	78.31	86.06	90.1	96.6	100	96.6	52
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.48	36.88	37.06	37.25	37.39	37.59	37.81	38.11	38.37	39.24	39.89	40.53	41	41.38	41.09	43.49	57.04	63.12	63.92	64.27	65.51	68.52	71.07	78.31	86.06	90.1	96.6	96.6	100	53
i 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	
