#ZVView-data-copy: 18-Nov-2018 22:41:39																																																																																							
																																																																																							
#																																															
#IRDFF-1.05: IN-115(N,INL)In-115M																																															
Z(46x46): Zi,j = Cor(σXi,σYj)*100																																															
	X (MeV)																																														
Y(MeV)	0.339199	0.6	0.8	1	1.2	1.4	1.6	1.8	2	2.2	2.4	2.6	2.8	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	13	14	15	16	17	18	19	20	24	28	34	42	50	60	j
17	-2.97	1.444	3.381	-5.289	-3.776	4.109	6.879	1.846	-4.553	-4.028	2.054	6.166	4.233	-3.886	-1.914	6.01	3.753	-5.946	-12.32	-11.66	-5.971	2.294	9.99	13.99	12.74	6.129	-4.233	-13.43	-15.22	-7.036	8.298	28.53	19.8	7.91	72.64	92.03	100	88.45	62.13	0	0	0	0	0	0	0	37
18	-0.2095	0.1842	0.7666	-0.4855	-0.7025	0.375	1.213	0.8401	-0.3179	-0.7983	-0.05945	0.9994	1.276	0.003875	-0.669	0.9322	1.647	0.2618	-1.784	-2.93	-2.824	-1.491	0.6768	2.852	4.178	3.948	1.696	-2.009	-5.141	-5.559	-2.402	5.643	8.554	1.769	38.7	64.03	88.45	100	91.34	0	0	0	0	0	0	0	38
19	2.554	-1.097	-2.177	4.371	2.671	-3.342	-4.858	-0.6228	3.872	2.765	-1.953	-4.419	-2.268	3.63	0.9615	-4.26	-1.257	5.837	9.027	7.009	2.118	-3.451	-7.414	-8.12	-5.375	-0.07112	5.757	8.702	6.263	-0.7213	-8.683	-13.74	-2.694	-1.033	4.098	28.48	62.13	91.34	100	0	0	0	0	0	0	0	39
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	99.31	97.42	93.91	86.5	82.74	82.74	40
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.31	100	99.18	97.03	91.31	88.1	88.1	41
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.42	99.18	100	99.17	95.37	92.98	92.98	42
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.91	97.03	99.17	100	98.33	96.76	96.76	43
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.5	91.31	95.37	98.33	100	99.65	99.65	44
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.74	88.1	92.98	96.76	99.65	100	99.65	45
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.74	88.1	92.98	96.76	99.65	99.65	100	46
i 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
