A, Mass Sum Yield, Uncert Total

  2.07e-007 MeV.
 119, 4.5000e-03, 4.5000e-03
 120, 5.1000e-03, 4.1700e-03
 121, 3.4000e-03, 3.4000e-03
 122, 4.4000e-03, 4.4000e-03
 123, 3.9000e-03, 3.8000e-03
 124, 2.9000e-03, 2.9000e-03
 125, 3.0000e-03, 3.0000e-03
 126, 5.7000e-03, 4.6300e-03
 127, 1.6600e-02, 1.6600e-02
 128, 6.8300e-02, 6.7060e-02
 129, 2.2120e-01, 1.4848e-01
 130, 6.7090e-01, 3.8790e-01
 131, 1.4616e+00, 7.1277e-01
 132, 2.9138e+00, 1.2788e+00
 133, 4.1168e+00, 1.5065e+00
 134, 6.1898e+00, 1.7225e+00
 135, 6.6131e+00, 1.4771e+00
 136, 7.0850e+00, 1.2055e+00
 137, 6.1159e+00, 6.0261e-01
 138, 5.7196e+00, 4.6754e-01
 139, 5.7525e+00, 7.0756e-01
 140, 6.5155e+00, 9.8488e-01
 141, 5.7474e+00, 9.0208e-01
 142, 5.8610e+00, 9.1497e-01
 143, 5.4602e+00, 8.8026e-01
 144, 5.8727e+00, 9.8398e-01
 145, 5.4911e+00, 8.5206e-01
 146, 5.4024e+00, 8.1600e-01
 147, 3.9712e+00, 5.9243e-01
 148, 3.1139e+00, 5.5621e-01
 149, 2.2819e+00, 4.6926e-01
 150, 1.5961e+00, 3.8264e-01
 151, 8.5300e-01, 2.7643e-01
 152, 4.5370e-01, 1.7690e-01
 153, 2.0280e-01, 8.9530e-02
 154, 1.0360e-01, 5.3330e-02
 155, 5.2800e-02, 3.1580e-02
 156, 2.4100e-02, 1.7110e-02
 157, 7.1000e-03, 7.1000e-03
 158, 2.6000e-03, 2.6000e-03
 159, 8.0000e-04, 8.0000e-04
 160, 0.0000e+00, 0.0000e+00
 161, 0.0000e+00, 0.0000e+00
 162, 0.0000e+00, 0.0000e+00
  0.0004292 MeV.
  77, 6.0000e-04, 6.0000e-04
  78, 1.2000e-03, 1.2000e-03
  79, 4.1000e-03, 4.1000e-03
  80, 1.5700e-02, 1.2290e-02
  81, 3.3800e-02, 2.7050e-02
  82, 8.8500e-02, 6.4010e-02
  83, 1.3560e-01, 1.1723e-01
  84, 2.5330e-01, 1.8259e-01
  85, 4.9920e-01, 2.4094e-01
  86, 1.0251e+00, 3.1900e-01
  87, 1.5515e+00, 2.9016e-01
  88, 2.4753e+00, 2.9226e-01
  89, 3.4265e+00, 3.3875e-01
  90, 4.8887e+00, 4.7967e-01
  91, 5.4535e+00, 6.2213e-01
  92, 6.0257e+00, 7.9499e-01
  93, 5.5783e+00, 7.3975e-01
  94, 5.9856e+00, 8.0509e-01
  95, 6.0882e+00, 8.3217e-01
  96, 6.5356e+00, 8.5024e-01
  97, 5.7218e+00, 6.7395e-01
  98, 5.8460e+00, 5.7026e-01
  99, 5.8575e+00, 3.9065e-01
 100, 6.5348e+00, 6.2916e-01
 101, 6.4448e+00, 1.0354e+00
 102, 6.3130e+00, 1.3632e+00
 103, 4.8999e+00, 1.2344e+00
 104, 3.6660e+00, 1.0355e+00
 105, 2.3816e+00, 7.4773e-01
 106, 1.3543e+00, 4.5333e-01
 107, 5.8130e-01, 2.0217e-01
 108, 2.2120e-01, 9.6250e-02
 109, 6.2300e-02, 2.9930e-02
 110, 2.0500e-02, 1.1990e-02
 111, 5.7000e-03, 5.7000e-03
 112, 3.1000e-03, 3.1000e-03
 113, 4.7000e-03, 4.4400e-03
 114, 5.2000e-03, 5.0900e-03
 115, 3.8000e-03, 3.8000e-03
 116, 4.6000e-03, 4.6000e-03
 117, 3.6000e-03, 3.6000e-03
 118, 3.6000e-03, 3.6000e-03
 119, 3.3000e-03, 3.3000e-03
 120, 5.0000e-03, 5.0000e-03
 121, 3.4000e-03, 3.4000e-03
 122, 4.8000e-03, 4.1000e-03
 123, 2.7000e-03, 2.7000e-03
 124, 2.5000e-03, 2.5000e-03
 125, 2.5000e-03, 2.5000e-03
 126, 5.2000e-03, 4.1700e-03
 127, 1.7300e-02, 1.3320e-02
 128, 7.4200e-02, 4.3020e-02
