See original data: 
Section   Material 
and Evaluation Summary 
Interpreted ENDF file 

U-238(FY_cum)U-239,RNP   MAT=9237 MF=8 MT=459   Library: ENDF/B-VIII.0   

(n,FY_cum) Cumulative Fission-Product Yields
Fission-product yields are given for 2 incident neutron energies

Neutron energy =  5.0000E+05

   PRODUCT      ZAFP     FPS           Y          DY
 36-Kr- 98    36098.      0.  2.6000E-06  1.6640E-06
 36-Kr- 99    36099.      0.  1.9362E-07  1.2392E-07
 36-Kr-100    36100.      0.  3.6600E-09  2.3424E-09
 36-Kr-101    36101.      0.  2.2402E-11  1.4337E-11
 36-Kr-102    36102.      0.  2.9309E-12  1.8758E-12
 37-Rb- 79    37079.      0.  0.0000E+00  0.0000E+00
 37-Rb- 81    37081.      0.  0.0000E+00  0.0000E+00
 37-Rb- 83    37083.      0.  3.5200E-14  2.2528E-14
 37-Rb- 84    37084.      0.  5.7200E-12  3.6608E-12
 37-Rb- 85    37085.      0.  7.4306E-03  7.4306E-05
 37-Rb- 86-M  37086.      1.  1.4000E-08  8.9601E-09
 37-Rb- 86    37086.      0.  2.8000E-08  1.7920E-08
 37-Rb- 87    37087.      0.  1.6255E-02  1.6255E-04
 37-Rb- 88    37088.      0.  2.0280E-02  4.0561E-04
 37-Rb- 89    37089.      0.  2.7610E-02  5.5220E-04
 37-Rb- 90    37090.      0.  2.7792E-02  2.2234E-03
 37-Rb- 90-M  37090.      1.  4.7907E-03  1.5330E-03
 37-Rb- 91    37091.      0.  4.0274E-02  1.6110E-03
 37-Rb- 92    37092.      0.  4.1543E-02  3.3235E-03
 37-Rb- 93    37093.      0.  4.0953E-02  6.5525E-03
 37-Rb- 94    37094.      0.  3.2428E-02  7.4585E-03
 37-Rb- 95    37095.      0.  1.7127E-02  5.4808E-03
 37-Rb- 96    37096.      0.  1.2030E-02  2.7669E-03
 37-Rb- 97    37097.      0.  8.9432E-04  5.7236E-04
 37-Rb- 98    37098.      0.  8.4630E-04  5.4163E-04
 37-Rb- 99    37099.      0.  1.6940E-04  1.0842E-04
 37-Rb-100    37100.      0.  1.2450E-05  7.9681E-06
 37-Rb-101    37101.      0.  4.3125E-07  2.7600E-07
 37-Rb-102    37102.      0.  5.2055E-08  3.3315E-08
 37-Rb-103    37103.      0.  6.2001E-11  3.9681E-11
 37-Rb-104    37104.      0.  7.6138E-12  4.8728E-12
 37-Rb-105    37105.      0.  1.6953E-12  1.0850E-12
 38-Sr- 83    38083.      0.  0.0000E+00  0.0000E+00
 38-Sr- 84    38084.      0.  1.7200E-13  1.1008E-13
 38-Sr- 85-M  38085.      1.  0.0000E+00  0.0000E+00
 38-Sr- 85    38085.      0.  0.0000E+00  0.0000E+00
 38-Sr- 86    38086.      0.  2.8000E-08  1.7920E-08
 38-Sr- 87    38087.      0.  1.6255E-02  1.6255E-04
 38-Sr- 87-M  38087.      1.  2.7300E-11  1.7472E-11
 38-Sr- 88    38088.      0.  2.0281E-02  2.8393E-04
 38-Sr- 89    38089.      0.  2.7611E-02  3.8655E-04
 38-Sr- 90    38090.      0.  3.2469E-02  4.5457E-04
 38-Sr- 91    38091.      0.  4.0395E-02  8.0789E-04
 38-Sr- 92    38092.      0.  4.3123E-02  1.2074E-03
 38-Sr- 93    38093.      0.  4.9093E-02  1.9637E-03
 38-Sr- 94    38094.      0.  4.5761E-02  3.6609E-03
 38-Sr- 95    38095.      0.  4.9159E-02  3.9327E-03
 38-Sr- 96    38096.      0.  5.1901E-02  8.3042E-03
 38-Sr- 97    38097.      0.  2.9362E-02  6.7534E-03
 38-Sr- 98    38098.      0.  2.3415E-02  5.3854E-03
 38-Sr- 99    38099.      0.  9.9412E-03  4.4735E-03
 38-Sr-100    38100.      0.  3.0498E-03  1.9519E-03
 38-Sr-101    38101.      0.  4.7966E-04  3.0698E-04
 38-Sr-102    38102.      0.  6.2750E-05  4.0160E-05
 38-Sr-103    38103.      0.  1.5177E-06  9.7133E-07
 38-Sr-104    38104.      0.  2.0200E-07  1.2928E-07
 38-Sr-105    38105.      0.  4.1499E-08  2.6559E-08
 38-Sr-106    38106.      0.  0.0000E+00  0.0000E+00
 38-Sr-107    38107.      0.  0.0000E+00  0.0000E+00
 38-Sr-108    38108.      0.  0.0000E+00  0.0000E+00
 38-Sr-109    38109.      0.  0.0000E+00  0.0000E+00
 39-Y - 85    39085.      0.  0.0000E+00  0.0000E+00
 39-Y - 87    39087.      0.  0.0000E+00  0.0000E+00
 39-Y - 88    39088.      0.  2.0900E-13  1.3376E-13
 39-Y - 89    39089.      0.  2.7611E-02  3.8655E-04
 39-Y - 89-M  39089.      1.  2.7600E-06  3.8640E-08
 39-Y - 90-M  39090.      1.  1.2150E-09  7.7760E-10
 39-Y - 90    39090.      0.  3.2469E-02  2.0781E-02
 39-Y - 91-M  39091.      1.  2.3429E-02  1.4995E-02
 39-Y - 91    39091.      0.  4.0395E-02  2.5853E-02
 39-Y - 92    39092.      0.  4.3125E-02  1.2075E-03
 39-Y - 93-M  39093.      1.  1.7006E-02  1.0884E-02
 39-Y - 93    39093.      0.  4.9133E-02  3.1445E-02
 39-Y - 94    39094.      0.  4.6100E-02  1.8440E-03
 39-Y - 95    39095.      0.  5.1392E-02  1.4390E-03
 39-Y - 96    39096.      0.  5.9988E-02  4.7990E-03
 39-Y - 96-M  39096.      1.  7.3587E-03  3.3114E-03
 39-Y - 97-M  39097.      1.  0.0000E+00  0.0000E+00
 39-Y - 97    39097.      0.  5.4547E-02  2.1819E-03
